ITEM ID  DE  LA MATRIZ ;Código ADN Clínico-Funcional ;MODELO;CLASIFICACIÓN GENERAL;AGRUPADOR;DISPARADOR (Actividad, Función, Cargo, Examen Médico, Sistema, Hallazgo Clínico, Laboratorio Clínico);SISTEMA;COMPONENTE;SUBCOMPONENTE O CARACTERÍSTICA ANATÓMICA/FISIOLÓGICA (CON LATERALIDAD);VALORACIÓN ESPECÍFICA;CONDICIÓN CLÍNICA MÉDICA;HALLAZGO ESPERADO;ACCIÓN RECOMENDADA;INTERPRETACIÓN CLÍNICA;SEGUIMIENTO POR ESPECIALISTA;ESTADO DE APTITUD LABORAL;ACCIÓN RECOMENDADA IA (PLN/NLP)
1;SISTPRE-01-001;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/deterioro_funcional/bilateral;Audiometría tonal y verbal. Timpanometría y reflejos estapediales. Exploración otoscópica para descartar otras causas de hipoacusia.;Diagnóstico/Presbiacusia con sobreexposición a ruido laboral/Oído/Bilateral;Audiometría con hipoacusia neurosensorial bilateral descendente, con caída más marcada en 4000-6000 Hz. Timpanometría normal.;Adaptación de audífonos. Optimización de la comunicación en el puesto de trabajo. Seguimiento audiológico y monitoreo periódico.;El deterioro auditivo bilateral se debe a la suma del envejecimiento fisiológico y la exposición a ruido laboral, afectando la inteligibilidad del habla.;Audiología / ORL / Medicina laboral;Apto con Restricciones;Si tu audición se ha deteriorado por la edad y el ruido, te cuesta entender el habla. Necesitas audífonos y adaptar tu trabajo. Revisa tu audición de forma periódica.
2;SISCERE-01-002;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Sistema Nervioso Central / Periférico / Auditivo (11);sistema_límbico/hiperactivación/no_aplica_lateralidad;Evaluación clínica detallada del paciente, incluyendo el reporte de malestar. El diagnóstico se basa en la descripción del paciente de sus síntomas.;Diagnóstico/Misofonia o Fonofobia funcional/Sistema Nervioso Central/N/A;Audición objetivamente normal. El diagnóstico es clínico, basado en el reporte de malestar extremo (ansiedad, ira) ante sonidos específicos (triggers).;Terapia cognitivo-conductual (TCC) o de reentrenamiento de tinnitus (TRT). Uso de generadores de sonido enmascarador. Adaptación del entorno.;La condición es un trastorno del procesamiento central donde ciertos sonidos activan el sistema límbico y autónomo. Interfiere con la concentración en el trabajo.;Psiquiatría / Psicología / Audiología;Apto con Restricciones;Si sufres de misofonia, ciertos ruidos te causan malestar emocional. Es importante manejar esta condición con terapia y adaptar tu entorno de trabajo.
3;OIDOMED-01-003;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_medio GRU-1 (16);canal_semicircular_lateral/erosión_ósea/derecho;TC de peñascos para evaluar la extensión de la lesión ósea. Prueba de la fístula. Exploración otoscópica y examen audiológico para hipoacusia.;Diagnóstico/Otitis media crónica colesteatomatosa con fístula laberíntica/Oído/Derecha;TC que muestra erosión del canal semicircular lateral derecho por colesteatoma. Prueba de la fístula positiva. Hipoacusia mixta.;Prohibición absoluta de manipular el oído. Cirugía urgente para timpanomastoidectomía. Incapacidad prolongada para evitar complicaciones.;Complicación grave de una infección crónica en el oído derecho que ha erosionado el laberinto. Hay un altísimo riesgo de meningitis.;ORL / Neurotología / Neurocirugía;No Apto Temporal;Hay una infección grave en tu oído derecho que ha dañado estructuras importantes. Es necesaria una cirugía urgente y te ausentarás del trabajo temporalmente.
4;OIDOWAA-01-004;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/hipoplasia_funcional/no_aplica_lateralidad;Estudio genético para la confirmación del síndrome. Adaptación de audífonos o implante coclear según la severidad. Seguimiento oftalmológico.;Diagnóstico/Síndrome de Waardenburg/Sistema Auditivo y Pigmentario/N/A;Hipoacusia neurosensorial de grado variable, heterocromía del iris, mechón blanco frontal. Distopia cantorum. Estudio genético confirmatorio.;Adaptación de audífonos o implante coclear según el grado de hipoacusia. Seguimiento audiológico y oftalmológico periódico.;Síndrome genético con manifestaciones auditivas y pigmentarias. La hipoacusia es la principal limitación funcional para el trabajo.;Genética Médica / ORL / Audiología;Apto con Restricciones;El síndrome de Waardenburg puede causar problemas de audición y cambios en el color de los ojos. Se te recomienda usar audífonos y hacer controles médicos para el trabajo.
5;OIDOTIT-01-005;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_medio GRU-1 (16);cavum/obstrucción_funcional/no_aplica_lateralidad;Nasofibroscopia para descartar tumor de cavum que obstruya la trompa de Eustaquio. Evaluación audiológica y otoscopia detallada para nivel hidroaéreo.;Diagnóstico/Otitis media serosa unilateral del adulto (sospecha de neoplasia)/Oído/Derecha;Timpanometría tipo B en oído derecho. Otoscopia con nivel hidroaéreo. Hipoacusia conductiva unilateral. Nasofibroscopia muestra masa o inflamación en cavum.;Es mandatorio realizar nasofibroscopia para descartar un tumor de cavum. La aptitud depende del diagnóstico final.;Una otitis serosa unilateral en un adulto NUNCA es normal. Se debe descartar una neoplasia de cabeza y cuello antes de determinar la aptitud.;Otorrinolaringología (ORL) / Oncología;Depende de diagnóstico;Si tienes una otitis en un solo oído, necesitamos descartar una causa más grave con un examen especial. Tu aptitud laboral dependerá de este diagnóstico.
6;OIDOUSI-01-006;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/deterioro_funcional/bilateral;Estudio genético confirmatorio. Adaptaciones laborales para discapacidad dual. Terapia de rehabilitación vestibular y visual intensiva y asesoramiento genético.;Diagnóstico/Síndrome de Usher Tipo 1 (sordoceguera progresiva)/Oído y Sistema Visual/Bilateral;Hipoacusia neurosensorial profunda bilateral. Disfunción vestibular severa. Pérdida progresiva del campo visual. Estudio genético.;Implante coclear bilateral. Terapia de rehabilitación vestibular y visual intensiva. Adaptaciones laborales para discapacidad dual (sordoceguera).;Enfermedad genética que causa sordoceguera progresiva. La combinación de déficit auditivo y visual representa una discapacidad severa, limitando drásticamente las opciones laborales.;Genética Médica / ORL / Oftalmología / Rehabilitación;Apto con Restricciones;El síndrome de Usher causa pérdida progresiva de audición y visión. Podrías necesitar implantes cocleares. Tu trabajo debe ser adaptado para esta discapacidad.
7;OIDOHIP-01-007;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);cóclea/atrofia_nerviosa/izquierdo;Audiometría para la pérdida auditiva. Otoscopia para el estado del tímpano. Se requiere el antecedente epidemiológico para la correlación diagnóstica.;Diagnóstico/Hipoacusia neurosensorial profunda unilateral secundaria a parotiditis/Oído/Izquierda;Hipoacusia neurosensorial profunda o total (cofosis) en oído izquierdo, con el oído derecho normal. El antecedente de parotiditis es clave.;No hay tratamiento para la sordera. Proteger el oído sano (evitar ruido). Considerar sistemas CROS o implantes de conducción ósea para el trabajo.;La sordera monoaural es una secuela de una infección viral en la infancia. Causa una discapacidad permanente para la localización del sonido y la audición en ambientes ruidosos.;Otorrinolaringología (ORL) / Audiología;Apto con Restricciones;Si perdiste la audición en un oído por las paperas, es importante que cuides el oído sano. Hay dispositivos que te pueden ayudar en el trabajo y a localizar sonidos.
8;OIDOBAR-01-008;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_medio GRU-1 (16);membrana_timpánica/perforación/derecha;Incapacidad temporal. Reposo auditivo absoluto. No manipular el oído afectado. Cubrir con algodón estéril. Remisión urgente a ORL.;Diagnóstico/Barotrauma auditivo agudo por explosión/Oído/Derecha;Otoscopia que revela hemotímpano y perforación de la membrana timpánica. Hipoacusia súbita en oído derecho. Historia de trauma por explosión.;Incapacidad temporal. Reposo auditivo. No manipular el oído. Cubrir con algodón estéril. Remisión urgente a ORL para evaluar y manejar la lesión.;La lesión traumática aguda en el oído derecho por onda expansiva compromete la integridad estructural. Existe un riesgo de secuelas permanentes.;ORL / Medicina laboral;No Apto Temporal;La explosión causó un daño en tu oído derecho. Tienes que guardar reposo y evitar el ruido. Es una incapacidad temporal para que te recuperes.
9;OIDOOTO-01-009;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;Oído Externo / Piel y Tejidos Blandos (16);cartílago_auricular/necrosis/izquierdo;Drenaje quirúrgico urgente por ORL. Uso de vendaje compresivo. Antibióticos. La cirugía debe realizarse en las primeras 48 horas para prevenir la necrosis.;Diagnóstico/Otohematoma post-traumatismo/Oído Externo/Izquierda;Colección de sangre entre el cartílago y el pericondrio del pabellón auricular izquierdo, con edema y equimosis. Deformidad visible de la oreja.;Drenaje quirúrgico urgente por ORL para prevenir necrosis del cartílago y deformidad permanente. Incapacidad temporal para la recuperación.;Un trauma contuso en el oído izquierdo causa un hematoma que, si no se drena, interrumpe el flujo sanguíneo al cartílago, causando deformidad permanente y riesgo de infección.;ORL / Cirugía Plástica / Medicina laboral;No Apto Temporal;El golpe en la oreja izquierda causó un sangrado que requiere cirugía urgente para evitar que se deforme. Es temporal, para que te recuperes bien.
10;OIDOENF-01-010;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_auditivo;oído_interno GRU-1 (16);oído_interno/isquemia_severa/derecho;Tratamiento inmediato en cámara hiperbárica. Reposo absoluto. Se debe prohibir el buceo y los vuelos de por vida. Valoración por ORL para manejo de secuelas.;Diagnóstico/Enfermedad por descompresión del oído interno/Oído Interno/Derecho;Hipoacusia neurosensorial y arreflexia vestibular en el lado derecho. La historia de buceo es clave para el diagnóstico. RMN puede mostrar aire en laberinto.;Tratamiento inmediato en cámara hiperbárica. Reposo absoluto. Prohibición de buceo y vuelos de por vida. Rehabilitación vestibular si hay secuelas.;La formación de burbujas de gas en el oído interno derecho por un ascenso rápido es una emergencia médica. Causa un daño isquémico severo e irreversible.;Medicina Hiperbárica / ORL;No Apto Definitivo;El buceo te causó un daño en el oído interno derecho que es permanente. Por tu seguridad, no podrás volver a bucear ni volar en aviones.
